Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Currency (product.metafields.shopify.currency),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / États-Unis,Price / États-Unis,Compare At Price / États-Unis,Status
escales-asie,,,,,,,,,Forfaits eSIM,,,5 Gb / 30 jours,,,,,,0.0,,0,continue,manual,26.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-asie,,,,,,,,,Forfaits eSIM,,,10 Gb / 30 jours,,,,,,0.0,,0,continue,manual,42.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-asie,,,,,,,,,Forfaits eSIM,,,20 Gb / 30 jours,,,,,,0.0,,0,continue,manual,68.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-asie,,,,,,,,,Recharges eSIM,,,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,12.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-asie,,,,,,,,,Recharges eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,18.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-asie,,,,,,,,,Recharges eSIM,,,5 Gb / 30 jours,,,,,,0.0,,0,continue,manual,26.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-asie,,,,,,,,,Recharges eSIM,,,10 Gb / 30 jours,,,,,,0.0,,0,continue,manual,42.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-asie,,,,,,,,,Recharges eSIM,,,20 Gb / 30 jours,,,,,,0.0,,0,continue,manual,68.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-mediterranee,Escales Méditerranée,"<p><strong>Ce forfait est conçu exclusivement pour couvrir toutes vos escales lors de vos croisière en Méditerranée.</strong></p>
<blockquote>
<p><strong><em>Destinations couvertes :</em></strong></p>
<p><strong><em><span>Albanie, Algérie, Croatie, Espagne, France, Grèce, Italie, Maroc, Monténégro, Portugal, Tunisie, Turquie</span></em></strong></p>
</blockquote>
<blockquote>
<p> </p>
</blockquote>
<p><strong>Type de forfait</strong><em><strong> :  eSIM de données. Aucun numéro de téléphone attribué.</strong></em></p>
<p><strong>Période d'achat : <em>30 jours avant l'activation maximum</em></strong></p>
<p><strong>Début de la période de validité : <em>Première connexion au réseau de destination</em></strong></p>
<p><strong>Appareils compatible : <em>Voir la liste <a rel=""noopener"" title=""Appareils compatibles eSIM"" href=""https://quebecesim.ca/pages/appareils-compatibles"" target=""_blank"">ici</a></em></strong></p>
<p><strong>Rechargeable :<em> Oui</em></strong></p>
<p><strong>Point d'accès Wifi : <em>Oui</em></strong></p>
<p> </p>
<p> </p>
<h5><strong style=""font-size: 14px;""><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/4g.webp?v=1765312682"" alt="""" width=""47"" height=""47""><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1000011916.png?v=1764155325"" alt="""" width=""47"" height=""47""></strong></h5>",Québec eSim,Electronics > Communications > Telephony > Mobile & Smart Phone Accessories > Mobile Phone Pre-Paid Cards & SIM Cards,"","",false,Types de forfaits,Forfaits eSIM,,Forfaits disponibles,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,18.95,,false,true,,,,,,https://cdn.shopify.com/s/files/1/0646/4038/5102/files/5343.png?v=1785707377,1,"",false,Quebecesim / Forfaits eSIM pour vos voyages!,"Quebecesim.ca : Découvrez l'ensemble des forfaits eSIM pour plus de 150 destinations avec Québecesim! Forfaits mondials, régions du monde et par pays.",6030,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,draft
escales-mediterranee,,,,,,,,,Forfaits eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,29.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-mediterranee,,,,,,,,,Forfaits eSIM,,,5 Gb / 30 jours,,,,,,0.0,,0,continue,manual,46.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-mediterranee,,,,,,,,,Forfaits eSIM,,,10 Gb / 30 jours,,,,,,0.0,,0,continue,manual,62.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-mediterranee,,,,,,,,,Forfaits eSIM,,,20 Gb / 30 jours,,,,,,0.0,,0,continue,manual,115.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-mediterranee,,,,,,,,,Recharges eSIM,,,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,18.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
