Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
venezuela,,,,,,,,,3GB / 30 Days,,,,,,,,TELNA-VENEZUELA-3GB-30D,0.0,,0,deny,manual,12.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,5GB / 5 Days,,,,,,,,TELNA-VENEZUELA-5GB-5D,0.0,,0,deny,manual,11.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,5GB / 10 Days,,,,,,,,TELNA-VENEZUELA-5GB-10D,0.0,,0,deny,manual,12.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,5GB / 15 Days,,,,,,,,TELNA-VENEZUELA-5GB-15D,0.0,,0,deny,manual,13.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,5GB / 30 Days,,,,,,,,TELNA-VENEZUELA-5GB-30D,0.0,,0,deny,manual,15.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,10GB / 5 Days,,,,,,,,TELNA-VENEZUELA-10GB-5D,0.0,,0,deny,manual,21.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,10GB / 10 Days,,,,,,,,TELNA-VENEZUELA-10GB-10D,0.0,,0,deny,manual,22.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,10GB / 15 Days,,,,,,,,TELNA-VENEZUELA-10GB-15D,0.0,,0,deny,manual,23.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,10GB / 30 Days,,,,,,,,TELNA-VENEZUELA-10GB-30D,0.0,,0,deny,manual,25.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,20GB / 5 Days,,,,,,,,TELNA-VENEZUELA-20GB-5D,0.0,,0,deny,manual,40.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,20GB / 10 Days,,,,,,,,TELNA-VENEZUELA-20GB-10D,0.0,,0,deny,manual,41.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,20GB / 15 Days,,,,,,,,TELNA-VENEZUELA-20GB-15D,0.0,,0,deny,manual,42.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,20GB / 30 Days,,,,,,,,TELNA-VENEZUELA-20GB-30D,0.0,,0,deny,manual,46.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,Unlimited / 5 Days,,,,,,,,TELNA-VENEZUELA-UNLIMITED-5D,0.0,,0,deny,manual,24.99,,false,false,,,,,,,,,,,,,kg,,,
venezuela,,,,,,,,,Unlimited / 10 Days,,,,,,,,TELNA-VENEZUELA-UNLIMITED-10D,0.0,,0,deny,manual,39.99,,false,false,,,,,,,,,,,,,kg,,,
