Region,ID,Name,WSP info,RRP info,Data (GB),Validity (Days),Wi-Fi Hotspot,Traffic Policy
  Albania,UJNBCCTFD4XI,Albania Unlimited MAX - 5 Days,19.31  $,29.99  $,Unlimited,5,Yes,"Daily - 5GB per Day, then 1Mbps"
  Albania,ZSFBRZTXAFYI,Albania Unlimited STANDARD - 10 Days,24.01  $,39.99  $,Unlimited,10,Yes,"Daily - 3GB per Day, then 1Mbps"
  Albania,VMR7W8N18ONC,Albania Unlimited STANDARD - 15 Days,38.10  $,74.99  $,Unlimited,15,Yes,"Daily - 3GB per Day, then 1Mbps"
  Albania,JE54AUESZGBQ,Albania Unlimited STANDARD - 30 Days,85.04  $,99.99  $,Unlimited,30,Yes,"Daily - 3GB per Day, then 1Mbps"
  Albania,YEQQUX3T66T0,Albania Unlimited STANDARD - 5 Days,13.04  $,24.99  $,Unlimited,5,Yes,"Daily - 3GB per Day, then 1Mbps"
  Algeria,XNCHKRJP2GOV,Algeria 10GB - 10 Days,9.42  $,12.99  $,10,10,Yes,Limit - Maximum Data 10GB
  Algeria,CRRIDVGJ7TUG,Algeria 10GB - 15 Days,9.94  $,13.99  $,10,15,Yes,Limit - Maximum Data 10GB
  Algeria,HUZY4REAVXAE,Algeria 10GB - 30 Days,10.36  $,15.99  $,10,30,Yes,Limit - Maximum Data 10GB
  Algeria,EZXE8JT1DABM,Algeria 10GB - 5 Days,8.48  $,11.99  $,10,5,Yes,Limit - Maximum Data 10GB
  Algeria,ZK3HYH6T4XGO,Algeria 1GB - 10 Days,2.50  $,4.99  $,1,10,Yes,Limit - Maximum Data 1GB
  Algeria,X8CY7L4LP3AH,Algeria 1GB - 15 Days,2.64  $,4.99  $,1,15,Yes,Limit - Maximum Data 1GB
  Algeria,L0VSGK1IWOV4,Algeria 1GB - 30 Days,2.75  $,7.99  $,1,30,Yes,Limit - Maximum Data 1GB
  Algeria,R1YNO5YJGTCJ,Algeria 1GB - 5 Days,2.25  $,3.99  $,1,5,Yes,Limit - Maximum Data 1GB
